date,open,high,low,close,volume
2014-10-17,6118.979,6140.119,5943.592,6058.668,9712586400
2014-10-20,6068.776,6154.685,6068.517,6154.52,7902498400
2014-10-21,6153.02,6176.069,6097.366,6103.008,7954840800
2014-10-22,6102.464,6131.886,6024.404,6027.51,7355880000
2014-10-23,6009.84,6032.613,5899.89,5930.483,7429696000
2014-10-24,5930.571,5980.336,5917.556,5941.926,5943126000
2014-10-27,5927.149,6007.159,5899.772,6006.838,6164242400
2014-10-28,6021.653,6163.672,6021.638,6163.672,8458316000
2014-10-29,6179.458,6269.957,6179.16,6246.699,11142717600
2014-10-30,6248.47,6284.7,6222.814,6241.588,10395894400
2014-10-31,6242.84,6261.706,6158.802,6208.61,9256130400
2014-11-03,6217.097,6276.232,6216.876,6275.993,9173112800
2014-11-04,6274.997,6280.834,6207.398,6231.816,8906783200
2014-11-05,6222.944,6241.068,6188.344,6227.245,7808875200
2014-11-06,6223.078,6289.828,6201.274,6289.192,7680781600
2014-11-07,6297.351,6319.085,6204.807,6228.167,9171222400
2014-11-10,6236.195,6247.719,6196.991,6246.612,7710688000
2014-11-11,6252.391,6253.217,5973.742,6023.004,10183034400
2014-11-12,6005.863,6120.249,5992.895,6120.058,6637915200
2014-11-13,6116.978,6117.105,5986.999,6023.782,8313601600
2014-11-14,6002.051,6024.372,5965.807,6009.446,6106637600
2014-11-17,6016.541,6118.006,5992.797,6100.833,6486996800
2014-11-18,6095.869,6139.763,6094.605,6139.522,6380190800
2014-11-19,6134.374,6206.815,6134.054,6193.562,7149502400
2014-11-20,6174.89,6189.443,6158.344,6185.919,6504845600
2014-11-21,6183.472,6240.784,6183.335,6240.774,7143662400
2014-11-24,6281.558,6304.448,6253.737,6293.023,9636399200
2014-11-25,6295.683,6392.799,6290.373,6392.442,10162903200
2014-11-26,6400.587,6435.335,6381.889,6435.14,10840820000
2014-11-27,6450.506,6472.788,6420.725,6472.587,11363669600
2014-11-28,6476.57,6499.2,6419.198,6478.108,11821694400
2014-12-01,6477.995,6477.995,6360.929,6392.464,10627638400
2014-12-02,6385.949,6466.689,6382.65,6457.556,9759043200
2014-12-03,6465.46,6514.307,6393.726,6513.957,13192296800
2014-12-04,6517.677,6608.226,6515.225,6605.322,13502196800
2014-12-05,6612.186,6612.186,6294.194,6462.089,14961028800
2014-12-08,6445.512,6494.321,6390.902,6457.511,12904352800
2014-12-09,6435.574,6435.675,6153.779,6161.367,15810198400
2014-12-10,6137.272,6367.07,6111.762,6366.81,10295152800
2014-12-11,6361.339,6463.716,6335.855,6463.316,11161980800
2014-12-12,6469.268,6549.42,6455.974,6545.19,10446072000
2014-12-15,6528.867,6664.252,6510.357,6658.145,11447153600
2014-12-16,6663.473,6678.409,6590.841,6635.255,10686379200
2014-12-17,6613.966,6613.966,6494.305,6551.119,11048224000
2014-12-18,6538.885,6581.062,6529.341,6540.881,8866739200
2014-12-19,6524.554,6524.759,6346.303,6438.042,10038936800
2014-12-22,6406.507,6406.552,6097.914,6120.582,11679419200
2014-12-23,6087.268,6153.647,6012.568,6023.366,7418941600
2014-12-24,6045.09,6155.291,6045.09,6154.878,6849392800
2014-12-25,6166.467,6222.655,6159.037,6222.506,6834942400
2014-12-26,6218.913,6233.964,6196.217,6233.936,7820916800
2014-12-29,6222.939,6222.939,6068.545,6098.979,9193861600
2014-12-30,6083.956,6088.871,5967.82,5982.636,7947724800
2014-12-31,5981.124,6027.52,5945.722,6027.52,7059781600
2015-01-05,6025.747,6052.442,5948.272,6049.787,9480519200
2015-01-06,6021.449,6172.644,5986.401,6172.392,9399203200
2015-01-07,6161.482,6171.146,6118.14,6166.769,8062012800
2015-01-08,6161.553,6211.46,6126.966,6164.111,8131564800
2015-01-09,6148.109,6214.288,6128.012,6128.012,7326784000
2015-01-12,6098.815,6102.437,6033.711,6062.283,6608878800
2015-01-13,6059.381,6167.353,6058.596,6167.117,6071431200
2015-01-14,6167.746,6170.906,6114.237,6139.29,5869060800
2015-01-15,6136.556,6177.052,6136.1,6168.658,5469730400
2015-01-16,6172.959,6252.143,6169.052,6252.075,6855902400
2015-01-19,6133.545,6296.612,6033.878,6109.285,9341697600
2015-01-20,6135.607,6336.711,6135.607,6336.631,8683555200
2015-01-21,6358.017,6465.832,6357.682,6465.733,10380960000
2015-01-22,6472.166,6569.902,6466.646,6568.636,10366393600
2015-01-23,6576.98,6577.377,6481.212,6502.067,10447511200
2015-01-26,6508.733,6642.719,6508.087,6642.612,9817861600
2015-01-27,6652.205,6694.818,6582.438,6693.806,10977496800
2015-01-28,6680.081,6725.665,6649.187,6666.264,9399427200
2015-01-29,6620.23,6661.728,6594.445,6625.005,7668146400
2015-01-30,6629.278,6655.605,6546.138,6546.597,8217629600
2015-02-02,6485.155,6567.402,6449.567,6535.903,6826962400
2015-02-03,6547.753,6661.892,6547.621,6654.549,7622086400
2015-02-04,6665.879,6692.315,6645.191,6653.338,7943750400
2015-02-05,6685.76,6729.51,6649.217,6654.082,9040683200
2015-02-06,6637.537,6658.952,6503.594,6526.949,7927086400
2015-02-09,6508.376,6541.719,6458.177,6474.817,5760236800
2015-02-10,6468.519,6556.067,6458.43,6555.818,5110833600
2015-02-11,6563.873,6645.978,6563.734,6645.51,6097063200
2015-02-12,6652.564,6707.653,6652.473,6703.815,6754187200
2015-02-13,6732.302,6824.594,6731.719,6815.848,8705156800
2015-02-16,6831.259,6965.463,6831.085,6965.301,8751565600
2015-02-17,6987.392,7020.201,6948.218,7020.053,8290924800
2015-02-25,7037.96,7060.066,6984.165,7004.665,8444718400
2015-02-26,7001.178,7045.527,6967.939,7045.268,9036487200
2015-02-27,7045.792,7142.26,7042.144,7141.888,10004133600
2015-03-02,7187.527,7317.873,7172.745,7317.677,13074560000
2015-03-03,7306.437,7386.821,7272.462,7282.108,14115728000
2015-03-04,7277.542,7411.267,7277.542,7411.034,12037211200
2015-03-05,7417.531,7451.24,7375.111,7450.906,12569136000
2015-03-06,7454.922,7467.427,7330.45,7338.404,11432283200
